Time,Distance,Status
794,3184,OK
990,4333,OK
960,3859,OK
948,4012,OK
951,3614,OK
972,3931,OK
739,3182,OK
950,4019,OK
950,4019,OK
961,3868,OK
766,3431,OK
1011,3490,OK
842,3354,OK
858,3452,OK
698,3337,OK
960,4290,OK
708,3233,OK
702,3517,OK
855,3729,OK
951,4025,OK
957,4062,OK
952,4032,OK
720,3157,OK
862,3825,OK
841,3442,OK
728,3173,OK
1018,3954,OK
709,3136,OK
864,4256,OK
655,3393,OK
971,3926,OK
991,4337,OK
830,3583,OK
939,4063,OK
939,4063,OK
741,3515,OK
841,3341,OK
746,3171,OK
975,4421,OK
967,4127,OK
994,4117,OK
978,4345,OK
740,3719,OK
786,3249,OK
706,3147,OK
768,3444,OK
701,3352,OK
843,3360,OK
993,4114,OK
844,3357,OK
951,3609,OK
701,3350,OK
961,3867,OK
929,3498,OK
841,3341,OK
